46	86.1364	45.5909	41.3636	256.1364	7.6818	3.6595
46.0909	87.7273	44.6364	44.7727	259.5455	6.2727	6.1892
46.1818	93.6364	43	41.8182	253.6364	7.5909	3.7695
46.2727	90.6818	44.3636	44.3182	251.8182	7.8182	3.6709
46.3636	93.8636	43.9545	43.6364	257.5	6.7727	5.0684
46.4545	90.9091	41.2273	49.0909	250.9091	7.5455	4.2939
46.5455	86.8182	40	40.6818	255.6818	7.0909	4.3275
46.6364	91.1364	42.7273	48.4091	255	7	5.0652
46.7273	94.7727	44.5	41.5909	257.9545	7.1818	4.2898
46.8182	92.9545	40.6818	42.5	253.4091	7.9091	3.4992
46.9091	95	42.1818	40.4545	250.6818	7.7273	3.5342
47	93.4091	40.1364	47.7273	251.3636	6.5	5.9556
47.0909	85.4545	46	46.8182	251.1364	7.4545	4.2397
47.1818	94.0909	42.5909	45	256.5909	6.7273	5.2745
47.2727	88.8636	44.9091	49.5455	252.9545	7.5	4.3807
47.3636	93.1818	40.2727	45.4545	252.7273	7.8636	3.7271
47.4545	85.2273	43.4091	48.8636	253.8636	6.4545	6.1024
47.5455	87.0455	40.8182	49.7727	251.5909	8	3.803
47.6364	91.8182	45.1818	47.5	259.7727	6.1818	6.7165
47.7273	94.5455	44.2273	48.1818	260	6.1364	6.9282
47.8182	90	44.7727	43.8636	250	7.1364	4.4643
47.9091	92.2727	41.0909	40.2273	255.9091	6.9091	4.5543
48	92.0455	41.6364	50	252.0455	6.9545	5.2595
48.0909	85.9091	41.9091	48.6364	258.1818	7.3182	4.6589
48.1818	91.5909	43.2727	42.7273	258.8636	7.2273	4.3733
48.2727	89.3182	41.5	47.9545	256.3636	6.6364	5.7226
48.3636	89.5455	45.8636	45.6818	254.5455	6.8182	5.1673
48.4545	88.6364	43.5455	44.5455	254.7727	7.9545	3.5853
48.5455	87.2727	43.6818	41.1364	250.2273	6.5455	5.1669
48.6364	90.4545	45.7273	45.9091	257.2727	7.6364	4.0405
48.7273	85	42.8636	46.5909	252.2727	7.7727	3.8939
48.8182	88.1818	41.7727	43.1818	253.1818	6.3182	5.8507
48.9091	94.3182	44.0909	47.2727	257.7273	7.3636	4.5202
49	87.5	45.3182	40.9091	259.0909	6.3636	5.6075
49.0909	89.0909	43.8182	42.0455	257.0455	6.6818	5.087
49.1818	89.7727	40.4091	46.1364	259.3182	6.0909	6.8632
49.2727	92.7273	42.4545	40	256.8182	7.2727	4.0584
49.3636	92.5	40.5455	42.9545	258.4091	6.8636	4.9452
49.4545	88.4091	43.1364	47.0455	255.4545	7.0455	4.9086
49.5455	90.2273	42.3182	46.3636	258.6364	6.4091	6.0915
49.6364	86.5909	45.0455	43.4091	250.4545	6.0455	6.4504
49.7273	91.3636	41.3636	44.0909	255.2273	7.4091	4.2161
49.8182	86.3636	40.9545	42.2727	252.5	6.2273	5.9798
49.9091	85.6818	42.0455	49.3182	254.0909	6.5909	5.8873
50	87.9545	45.4545	45.2273	254.3182	6	6.6652
