48	90	43	45	255	7	5.0243
46.453	91.613	41.543	46.891	258.73	6.6176	5.9285
46.497	92.009	44.017	48.983	253.52	6.4665	6.3672
46.032	89.071	43.302	42.36	252.24	6.5486	5.4831
48.268	88.848	41.376	42.542	255.15	6.9599	4.8902
49.286	87.022	40.979	41.117	259.97	7.7229	3.8863
48.676	92.346	42.693	41.421	259.06	6.5695	5.5
48.396	89.118	43.221	42.145	256.97	6.6716	5.3212
46.878	94.697	43.212	44.078	250.9	7.8491	3.8184
46.431	94.474	44.311	43.154	250.88	6.0044	6.7547
46.15	85.644	43.048	42.903	259.91	6.9281	5.0038
47.374	92.158	41.486	48.625	256.63	7.8809	4.1385
47.106	88.489	40.348	47.059	250.85	6.9752	5.1899
46.032	86.442	44.495	43.063	252.53	6.8495	5.0201
49.614	89.021	45.75	45.259	253.21	7.9895	3.7907
49.179	87.747	41.964	48.833	255.28	7.4171	4.86
48.768	86.266	40.36	41.601	255.75	6.9644	5.0225
48.062	89.656	41.672	48.396	253.81	6.0679	7.5641
49.298	85.007	43.407	49.919	251.31	6.3398	6.8974
47.968	89.379	44.798	47.209	250.41	7.3566	4.7843
